OBJECTID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,Shape__Area,Shape__Length
1,10006778,RAPIDES PARISH DETENTION CENTER II,400 B JOHN ALLISON DR,ALEXANDRIA,LA,71303,-999,(318) 449-4360,COUNTY,OPEN,-999,RAPIDES,22079,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.rpso.org/corrections-division,2017/09/29 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,http://www.rpso.org/corrections-division,NOT AVAILABLE,200,2.39651285482978e-06,0.00762385239100135
2,10001649,RAPIDES PARISH DETENTION CENTER III,7400 ACADEMY DR,ALEXANDRIA,LA,71303,-999,(318) 449-4385,COUNTY,OPEN,-999,RAPIDES,22079,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.rpso.org/corrections-division,2017/09/29 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,http://www.rpso.org/corrections-division,NOT AVAILABLE,381,1.83140241460933e-06,0.00529826661723779
3,10004100,LT. SHERMAN WALKER CORRECTIONAL FACILITY,100 DEPUTY BARTON GRANIER DR,LAPLACE,LA,70068,-999,(985) 359-8627,COUNTY,OPEN,-999,ST. JOHN THE BAPTIST,22095,USA,922140,CORRECTIONAL INSTITUTIONS,https://stjohnsheriff.org/crime-arrests/parish-prison/,2017/09/29 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,https://stjohnsheriff.org/crime-arrests/parish-prison/,NOT AVAILABLE,332,7.36142283130903e-07,0.00357383669524516
4,10000962,EAST FELICIANA PARISH JAIL / WORK RELEASE,12306 HAYNES ST,CLINTON,LA,70722,-999,(225) 683-5459,COUNTY,OPEN,-999,EAST FELICIANA,22037,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.louisiana.gov/location/east_feliciana_parish/,2017/04/01 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,NOT AVAILABLE,MINIMUM,-999,1.15643229037232e-06,0.00444007928325811
5,10004943,WRIGHT COUNTY JAIL,719 2ND STREET SOUTHWEST,CLARION,IA,50525,-999,(515) 532-6152,COUNTY,OPEN,-999,WRIGHT,19197,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.wrightcounty.org/departments/sheriff/jail_information_and_services.php,2018/02/28 00:00:00+00,IMAGERY/OTHER,2024/07/12 00:00:00+00,https://www.wrightcounty.org/departments/sheriff/jail_information_and_services.php,NOT AVAILABLE,-999,2.24796849579434e-07,0.00190466058443531
6,10004639,TURNING POINT WORK RELEASE,400 SW 2ND STREET,POMPANO BEACH,FL,33060,6822,(954) 884-3562,STATE,OPEN,-999,BROWARD,12011,USA,922140,CORRECTIONAL INSTITUTIONS,https://fdc.myflorida.com/org/facilitydir.html,2024/02/15 00:00:00+00,IMAGERY/OTHER,2024/04/01 00:00:00+00,https://bridgesinternational.net/turning-point-bridge,MINIMUM,99,7.64767719374504e-07,0.00344412309662785
7,10006806,ANDREW COUNTY JAIL,400 EAST MAIN STREET,SAVANNAH,MO,64485,-999,(816) 324-4114,COUNTY,OPEN,-999,ANDREW,29003,USA,922140,CORRECTIONAL INSTITUTIONS,https://andrewcounty.org/sheriff/,2018/03/23 00:00:00+00,IMAGERY/OTHER,2024/08/12 00:00:00+00,https://www.andrewcountysheriff.org/index.php,MAXIMUM,60,1.78451728061191e-07,0.00183381799463677
8,10005850,AUDRAIN COUNTY JAIL,1100 LITTLEBY ROAD,MEXICO,MO,65265,-999,(573) 473-5800,COUNTY,OPEN,-999,AUDRAIN,29007,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.audrainsheriff.com/,2018/03/23 00:00:00+00,IMAGERY/OTHER,2024/08/12 00:00:00+00,https://www.audrainsheriff.com/,NOT AVAILABLE,-999,3.39518919645343e-07,0.00304547800232318
9,10005564,ATTALA COUNTY JAIL (OLD),112 WEST ADAMS STREET,KOSCIUSKO,MS,39090,-999,(662) 289-5556,COUNTY,CLOSED,-999,ATTALA,28007,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.attalacounty.net/sheriff,2024/08/13 00:00:00+00,IMAGERY/OTHER,2024/08/13 00:00:00+00,https://www.attalacounty.net/sheriff,NOT AVAILABLE,-999,1.96110477190814e-07,0.00178568026270184
10,10001642,FRANKLIN PARISH DETENTION CENTER,388 NATURES ACRES RD,WINNSBORO,LA,71295,-999,(318) 435-8229,COUNTY,OPEN,-999,FRANKLIN,22041,USA,922140,CORRECTIONAL INSTITUTIONS,https://doc.louisiana.gov/location/franklin-parish/,2024/08/16 00:00:00+00,IMAGERY/OTHER,2024/08/16 00:00:00+00,http://www.franklinsheriff.net/,NOT AVAILABLE,834,3.08586936625943e-06,0.00947193191271102
