GEOID,NAME,variable,estimate_2018,moe_2018,estimate_2019,moe_2019,estimate_2020,moe_2020,estimate_2021,moe_2021,estimate_2022,moe_2022,estimate_2023,moe_2023
01,Alabama,Male,2355799,1011,2359355,1270,2365734,1090,2429703,1254,2445995,1269,2453419,1365
01,Alabama,Female,2508881,1011,2516895,1270,2527452,1089,2567972,1254,2582097,1270,2600834,1366
02,Alaska,Male,385579,465,384915,401,384653,448,384749,476,386649,598,385319,512
02,Alaska,Female,352937,465,352153,401,352337,448,351202,476,348172,598,348652,512
04,Arizona,Male,3453439,497,3504509,349,3564979,458,3533895,461,3588510,459,3628694,490
04,Arizona,Female,3493246,497,3545790,349,3609085,458,3545308,461,3583772,459,3639481,490
05,Arkansas,Male,1468412,966,1471760,979,1478511,1045,1483520,1096,1491622,1063,1495958,1129
05,Arkansas,Female,1522259,966,1527610,979,1533362,1043,1522789,1096,1527047,1063,1536693,1129
06,California,Male,19453769,1122,19526298,1141,19562882,1263,19714044,1045,19708947,1020,19605882,1332
06,California,Female,19694991,1122,19757199,1141,19783141,1263,19741309,1045,19647157,1020,19636903,1332
08,Colorado,Male,2780831,795,2823201,1044,2862153,1020,2895936,951,2927588,941,2942568,882
08,Colorado,Female,2750310,795,2787148,1044,2822773,1020,2827240,951,2843202,941,2868206,882
09,Connecticut,Male,1747131,418,1744245,441,1741688,351,1768860,423,1769196,389,1765117,367
09,Connecticut,Female,1834373,418,1830829,441,1828861,351,1836470,423,1842121,389,1833231,367
10,Delaware,Male,459570,137,462890,166,467720,160,477219,207,482909,198,487585,171
10,Delaware,Female,489925,137,494358,166,499959,160,504673,207,510726,198,518287,171
11,District of Columbia,Male,324881,83,328644,74,333137,82,325490,75,320797,93,320001,95
11,District of Columbia,Female,359617,83,364039,74,368837,82,357664,75,349790,93,352078,95
12,Florida,Male,10071925,1388,10220813,1549,10374594,1559,10489548,1420,10646786,1701,10773620,1506
12,Florida,Female,10526214,1388,10680823,1549,10842330,1559,10850214,1420,10987743,1701,11155261,1506
13,Georgia,Male,5012229,1630,5062096,1660,5113936,1996,5191616,2014,5244476,2201,5281762,2040
13,Georgia,Female,5285255,1630,5341751,1661,5402643,1999,5433999,2014,5477849,2200,5540828,2040
15,Hawaii,Male,713772,168,713260,157,712250,139,732172,158,732060,194,727473,169
15,Hawaii,Female,708257,168,708834,157,707824,139,721326,158,718529,194,718162,169
16,Idaho,Male,845564,804,861025,651,879763,828,912529,762,933728,680,952080,735
16,Idaho,Female,842245,804,856725,651,874604,828,899088,762,920381,680,941216,734
17,Illinois,Male,6295915,984,6272172,951,6247083,1174,6332176,1054,6313019,981,6270399,1066
17,Illinois,Female,6525582,984,6498459,951,6469081,1174,6489637,1054,6444615,981,6422254,1065
18,Indiana,Male,3271068,1278,3284846,1051,3300350,1169,3344360,1026,3366798,1272,3377011,1297
18,Indiana,Female,3366358,1278,3380857,1051,3396543,1169,3406980,1026,3417605,1273,3434741,1297
19,Iowa,Male,1554481,1025,1558536,1077,1564436,886,1590001,874,1598555,949,1601453,932
19,Iowa,Female,1578018,1025,1580972,1077,1585575,889,1589089,875,1590281,951,1594484,935
20,Kansas,Male,1449413,942,1450697,949,1451919,981,1468152,1074,1474948,988,1473655,920
20,Kansas,Female,1459363,943,1459955,949,1460700,982,1463947,1073,1460974,986,1463914,922
21,Kentucky,Male,2186715,1216,2190922,1184,2196522,1182,2223783,1324,2234041,1415,2233870,1262
21,Kentucky,Female,2253489,1216,2258130,1184,2265430,1183,2270358,1324,2268894,1415,2276855,1261
22,Louisiana,Male,2279968,1060,2278986,1162,2276932,1257,2283561,1144,2275349,1141,2262822,1006
22,Louisiana,Female,2383648,1060,2385376,1162,2387684,1259,2373744,1146,2365197,1143,2358203,1007
23,Maine,Male,652299,429,653942,422,656628,454,668308,541,674230,419,678363,464
23,Maine,Female,680514,429,681550,422,684197,453,688738,541,692719,419,699037,465
24,Maryland,Male,2910323,576,2917613,619,2925644,681,2995146,602,3002896,652,3002079,703
24,Maryland,Female,3093112,576,3101235,619,3111980,681,3153399,602,3158811,652,3168659,703
25,Massachusetts,Male,3313979,523,3324207,463,3335992,464,3413174,606,3419339,693,3416765,736
25,Massachusetts,Female,3516214,523,3526346,463,3537011,464,3578678,606,3564866,693,3575630,736
26,Michigan,Male,4899118,757,4905240,848,4911965,885,4983325,906,4993696,756,4982079,820
26,Michigan,Female,5058370,757,5060025,847,5061942,886,5079187,906,5064225,757,5069516,819
27,Minnesota,Male,2751748,749,2770873,655,2789017,793,2839135,788,2857964,959,2862134,841
27,Minnesota,Female,2775610,749,2792505,655,2811149,794,2831337,787,2837328,959,2851582,842
28,Mississippi,Male,1450379,1115,1447873,1265,1443708,1654,1444255,1581,1437988,1592,1431521,1333
28,Mississippi,Female,1538383,1115,1536545,1265,1538127,1654,1522768,1581,1520858,1592,1519917,1334
29,Missouri,Male,2988772,1158,2995725,1185,3004001,1341,3027741,1294,3039220,1121,3040690,1113
29,Missouri,Female,3101290,1158,3109185,1185,3120159,1342,3113793,1297,3115202,1122,3127491,1116
30,Montana,Male,524220,629,528573,653,534128,667,545671,604,553716,639,560035,651
30,Montana,Female,517512,629,522076,653,527577,667,532307,604,538124,639,545037,649
31,Nebraska,Male,949910,674,954950,616,959677,778,978863,731,984570,656,987506,825
31,Nebraska,Female,954850,673,959621,616,964149,778,972617,731,974369,655,978420,827
32,Nevada,Male,1467165,377,1491294,419,1520196,595,1541789,482,1568332,612,1582476,588
32,Nevada,Female,1455684,377,1481088,419,1510085,595,1517449,482,1536485,612,1558524,588
33,New Hampshire,Male,664983,433,667689,424,671802,432,683846,466,689725,460,692568,467
33,New Hampshire,Female,678639,433,680435,424,683442,432,688329,466,689885,460,695266,467
34,New Jersey,Male,4335930,472,4335032,594,4341123,523,4539311,515,4556331,495,4558671,425
34,New Jersey,Female,4545915,472,4543471,594,4544295,523,4694713,515,4692732,495,4708343,425
35,New Mexico,Male,1035850,702,1036190,693,1038007,665,1048448,780,1052858,800,1050368,870
35,New Mexico,Female,1056584,702,1056264,693,1059014,665,1060918,780,1059605,800,1064400,870
36,New York,Male,9519555,859,9501001,981,9474184,1036,9821711,1105,9781286,1020,9702417,984
36,New York,Female,10098898,859,10071318,981,10040665,1036,10293034,1105,10213093,1020,10169902,985
37,North Carolina,Male,4944759,1509,4996638,1311,5052667,1415,5067666,1651,5131370,1483,5177887,1414
37,North Carolina,Female,5210865,1509,5268238,1311,5333560,1416,5299356,1652,5338844,1484,5406453,1415
38,North Dakota,Male,386183,640,387555,729,389284,655,397093,628,399345,752,399126,807
38,North Dakota,Female,366018,638,369162,729,371110,655,376251,628,377529,752,380235,808
39,Ohio,Male,5703967,1143,5711765,1244,5721796,1248,5800004,1241,5814736,971,5809077,1299
39,Ohio,Female,5937912,1143,5943632,1244,5953479,1248,5969919,1241,5959947,971,5970969,1300
40,Oklahoma,Male,1941576,731,1949528,688,1956617,692,1964927,747,1980478,840,1988686,665
40,Oklahoma,Female,1976561,731,1983342,688,1992725,694,1983209,747,1990019,840,2006574,665
41,Oregon,Male,2023021,728,2047338,680,2070627,960,2096429,924,2113341,1051,2113849,981
41,Oregon,Female,2058922,728,2082465,680,2105719,960,2110748,925,2116033,1051,2124865,980
42,Pennsylvania,Male,6263189,713,6265113,741,6269142,824,6394217,914,6410766,812,6400912,830
42,Pennsylvania,Female,6527992,713,6526417,741,6525743,824,6576433,914,6578442,812,6585606,830
44,Rhode Island,Male,513332,272,513792,315,514524,353,534283,380,537221,388,537173,415
44,Rhode Island,Female,543279,272,543439,315,543274,353,557666,380,557029,388,558198,415
45,South Carolina,Male,2405726,860,2435472,868,2468682,1216,2474059,1187,2510019,1072,2537456,1071
45,South Carolina,Female,2550199,860,2585334,868,2622835,1216,2604844,1187,2632731,1071,2675318,1071
46,South Dakota,Male,435761,616,438946,666,442948,748,446461,730,451671,836,455597,911
46,South Dakota,Female,428528,616,431692,666,436388,749,435324,730,438671,837,443597,912
47,Tennessee,Male,3243678,1143,3273278,1507,3304462,1721,3362099,1514,3400979,1445,3428050,1431
47,Tennessee,Female,3407411,1143,3436078,1507,3467806,1721,3497398,1514,3522793,1444,3558032,1431
48,Texas,Male,13849775,1886,14034009,2058,14221720,2292,14398171,2057,14624638,2227,14789987,2328
48,Texas,Female,14035420,1886,14226847,2058,14413722,2292,14464410,2057,14618704,2227,14850356,2328
49,Utah,Male,1532768,662,1558868,603,1586950,587,1633843,621,1665209,747,1686562,710
49,Utah,Female,1512582,662,1537980,603,1564289,587,1597527,621,1618600,747,1644625,710
50,Vermont,Male,307973,381,308097,353,308441,331,318533,392,320339,417,320321,368
50,Vermont,Female,317004,381,316216,353,315899,330,323104,391,323477,417,324933,368
51,Virginia,Male,4138574,1437,4159173,1541,4186543,1645,4245281,1327,4268775,1813,4278490,1565
51,Virginia,Female,4275200,1437,4295290,1541,4322815,1644,4337198,1327,4355736,1813,4379009,1565
53,Washington,Male,3645665,768,3703301,802,3759007,731,3831964,810,3877918,806,3898212,675
53,Washington,Female,3648671,768,3700806,802,3753458,731,3785400,810,3810631,806,3842772,675
54,West Virginia,Male,904196,857,898578,865,893743,742,896723,715,894772,820,890156,830
54,West Virginia,Female,924858,857,918727,865,913683,742,904326,715,898195,819,894306,831
55,Wisconsin,Male,2872376,786,2879894,833,2889783,904,2937621,964,2948762,677,2950540,698
55,Wisconsin,Female,2906018,786,2910822,833,2917192,904,2934040,968,2933366,685,2941483,701
