State,Sheltered Total Homeless - Woman_2018,Sheltered Total Homeless - Man_2018,Sheltered Total Homeless - Transgender_2018,Sheltered Total Homeless - Non Binary_2018,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous_2018",Sheltered Total Homeless - Asian or Asian American_2018,"Sheltered Total Homeless - Black, African American, or African_2018",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander_2018,Sheltered Total Homeless - White_2018,Sheltered Total Homeless - Multi-Racial_2018,Unsheltered Homeless - Woman_2018,Unsheltered Homeless - Man_2018,Unsheltered Homeless - Transgender_2018,Unsheltered Homeless - Non Binary_2018,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous_2018",Unsheltered Homeless - Asian or Asian American_2018,"Unsheltered Homeless - Black, African American, or African_2018",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_2018,Unsheltered Homeless - White_2018,Unsheltered Homeless - Multi-Racial_2018,Sheltered Total Homeless - Woman_2019,Sheltered Total Homeless - Man_2019,Sheltered Total Homeless - Transgender_2019,Sheltered Total Homeless - Non Binary_2019,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous_2019",Sheltered Total Homeless - Asian or Asian American_2019,"Sheltered Total Homeless - Black, African American, or African_2019",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander_2019,Sheltered Total Homeless - White_2019,Sheltered Total Homeless - Multi-Racial_2019,Unsheltered Homeless - Woman_2019,Unsheltered Homeless - Man_2019,Unsheltered Homeless - Transgender_2019,Unsheltered Homeless - Non Binary_2019,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous_2019",Unsheltered Homeless - Asian or Asian American_2019,"Unsheltered Homeless - Black, African American, or African_2019",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_2019,Unsheltered Homeless - White_2019,Unsheltered Homeless - Multi-Racial_2019,Sheltered Total Homeless - Woman_2020,Sheltered Total Homeless - Man_2020,Sheltered Total Homeless - Transgender_2020,Sheltered Total Homeless - Non Binary_2020,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous_2020",Sheltered Total Homeless - Asian or Asian American_2020,"Sheltered Total Homeless - Black, African American, or African_2020",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander_2020,Sheltered Total Homeless - White_2020,Sheltered Total Homeless - Multi-Racial_2020,Unsheltered Homeless - Woman_2020,Unsheltered Homeless - Man_2020,Unsheltered Homeless - Transgender_2020,Unsheltered Homeless - Non Binary_2020,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous_2020",Unsheltered Homeless - Asian or Asian American_2020,"Unsheltered Homeless - Black, African American, or African_2020",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_2020,Unsheltered Homeless - White_2020,Unsheltered Homeless - Multi-Racial_2020,Sheltered Total Homeless - Woman_2021,Sheltered Total Homeless - Man_2021,Sheltered Total Homeless - Transgender_2021,Sheltered Total Homeless - Non Binary_2021,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous_2021",Sheltered Total Homeless - Asian or Asian American_2021,"Sheltered Total Homeless - Black, African American, or African_2021",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander_2021,Sheltered Total Homeless - White_2021,Sheltered Total Homeless - Multi-Racial_2021,Unsheltered Homeless - Woman_2021,Unsheltered Homeless - Man_2021,Unsheltered Homeless - Transgender_2021,Unsheltered Homeless - Non Binary_2021,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous_2021",Unsheltered Homeless - Asian or Asian American_2021,"Unsheltered Homeless - Black, African American, or African_2021",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_2021,Unsheltered Homeless - White_2021,Unsheltered Homeless - Multi-Racial_2021,Sheltered Total Homeless - Woman_2022,Sheltered Total Homeless - Man_2022,Sheltered Total Homeless - Transgender_2022,Sheltered Total Homeless - Gender Questioning_2022,Sheltered Total Homeless - Non Binary_2022,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous_2022",Sheltered Total Homeless - Asian or Asian American_2022,"Sheltered Total Homeless - Black, African American, or African_2022",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander_2022,Sheltered Total Homeless - White_2022,Sheltered Total Homeless - Multi-Racial_2022,Unsheltered Homeless - Woman_2022,Unsheltered Homeless - Man_2022,Unsheltered Homeless - Transgender_2022,Unsheltered Homeless - Gender Questioning_2022,Unsheltered Homeless - Non Binary_2022,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous_2022",Unsheltered Homeless - Asian or Asian American_2022,"Unsheltered Homeless - Black, African American, or African_2022",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_2022,Unsheltered Homeless - White_2022,Unsheltered Homeless - Multi-Racial_2022,Sheltered Total Homeless - Age 25 to 34_2023,Sheltered Total Homeless - Age 35 to 44_2023,Sheltered Total Homeless - Age 45 to 54_2023,Sheltered Total Homeless - Age 55 to 64_2023,Sheltered Total Homeless - Over 64_2023,Sheltered Total Homeless - Woman_2023,Sheltered Total Homeless - Man_2023,Sheltered Total Homeless - Transgender_2023,Sheltered Total Homeless - Gender Questioning_2023,Sheltered Total Homeless - Non Binary_2023,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous_2023",Sheltered Total Homeless - Asian or Asian American_2023,"Sheltered Total Homeless - Black, African American, or African_2023",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander_2023,Sheltered Total Homeless - White_2023,Sheltered Total Homeless - Multi-Racial_2023,Unsheltered Homeless - Age 25 to 34_2023,Unsheltered Homeless - Age 35 to 44_2023,Unsheltered Homeless - Age 45 to 54_2023,Unsheltered Homeless - Age 55 to 64_2023,Unsheltered Homeless - Over 64_2023,Unsheltered Homeless - Woman_2023,Unsheltered Homeless - Man_2023,Unsheltered Homeless - Transgender_2023,Unsheltered Homeless - Gender Questioning_2023,Unsheltered Homeless - Non Binary_2023,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous_2023",Unsheltered Homeless - Asian or Asian American_2023,"Unsheltered Homeless - Black, African American, or African_2023",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander_2023,Unsheltered Homeless - White_2023,Unsheltered Homeless - Multi-Racial_2023
AK,780,920,7,0,725,39,152,65,563,163,100,209,0,0,153,0,4,11,120,21,683,943,6,2,656,32,152,72,546,176,78,194,0,1,108,4,12,1,121,27,768,950,3,4,779,22,133,39,538,214,60,164,0,0,111,0,4,1,96,12,622,1171,4,0,751,27,134,58,574,253,50,101,1,0,105,0,7,3,25,12,757,1195,8,0,3,724,42,118,182,622,275,135,222,0,0,0,127,0,3,4,196,27,395,399,372,294,111,852,1273,16,0,5,880,33,160,92,638,343,106,210,87,52,0,139,327,0,2,0,271,5,21,7,158,6
AL,1044,1376,4,0,14,5,1089,2,1205,109,355,649,5,1,9,1,515,3,459,23,999,1068,3,0,34,4,1138,6,845,43,384,805,0,2,21,3,603,3,535,26,913,1081,2,0,15,2,1121,6,850,47,381,907,7,4,22,0,634,5,612,26,666,954,5,1,11,5,812,1,746,51,123,327,1,0,1,1,255,0,188,6,979,1180,9,3,1,22,17,1304,4,735,90,654,919,4,0,3,10,3,847,3,676,41,259,295,277,286,127,802,1019,17,6,4,14,9,1041,7,700,77,255,389,331,269,78,456,991,6,0,3,23,3,746,4,649,31
AR,678,773,3,1,25,2,453,2,910,63,435,820,2,0,11,10,463,2,737,34,615,683,3,1,26,3,431,8,789,45,407,1005,1,2,10,1,471,16,862,55,436,653,3,1,22,2,438,10,599,22,362,908,2,1,20,2,463,11,754,23,571,898,0,1,31,9,473,5,921,31,247,421,0,1,18,0,79,0,569,3,404,753,3,0,3,22,4,330,4,749,54,457,836,1,0,2,30,12,315,1,932,6,244,233,253,181,57,564,711,7,0,5,31,3,396,11,800,46,239,317,304,218,82,442,869,6,4,1,19,4,337,19,896,47
AS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZ,2444,3334,20,1,485,36,1436,30,3418,394,1016,3020,14,16,351,17,470,27,3076,125,2495,2966,10,4,490,32,1293,31,3012,617,1188,3331,6,7,429,16,615,28,3304,140,2428,3009,19,2,449,46,1523,28,3016,396,1800,3685,24,12,578,31,766,32,3885,229,2359,3074,21,6,429,45,1391,19,3140,436,0,0,0,0,0,0,0,0,0,0,2374,3109,25,2,16,355,55,1450,39,3230,397,2510,5485,12,1,19,584,32,1290,68,5581,472,960,1109,979,1081,638,2775,3799,30,4,14,372,54,1744,34,4017,401,1816,1963,1532,1153,425,2118,5387,22,65,23,603,47,1353,72,4994,546
CA,17599,22579,215,36,1178,776,13301,645,22659,1870,24892,63231,1037,383,4213,1562,24469,907,50297,8095,18737,23807,236,66,1285,757,14339,567,23276,2622,31730,74597,1528,577,5512,1849,29747,1610,58888,10826,20943,26502,330,113,1417,948,16492,520,26133,2378,32562,79235,1271,592,4969,2292,33118,1264,61306,10711,22443,28536,329,121,1519,1103,16351,700,29067,2689,2787,2783,9,5,210,54,771,53,4014,482,25241,30265,339,16,169,1770,1180,18312,690,31107,2971,32896,79824,1359,347,1065,5440,2823,33798,1802,62836,8792,9472,9805,8694,9151,4501,25100,32162,422,37,255,2119,1232,18212,752,32452,3209,22509,30753,26943,23686,8546,35359,85330,1497,222,1015,6470,5780,35157,2661,63933,9422
CO,2296,4203,17,12,288,60,1233,65,4277,605,1584,2723,11,11,199,17,333,29,3537,214,2665,4704,37,25,426,55,1499,81,4626,744,573,1585,17,13,160,10,179,19,1625,195,2426,4455,36,16,318,42,1513,100,4364,596,772,2107,17,17,209,9,295,36,2047,317,3069,4914,17,16,367,42,1717,147,5198,545,169,352,4,3,17,0,19,3,391,98,2849,4303,51,1,37,339,46,1436,184,4667,569,1035,2071,16,4,30,261,9,305,29,2170,382,1561,1745,1665,1534,576,3869,5697,71,2,55,449,102,2054,361,6034,694,919,1298,1139,730,210,1455,3238,21,1,30,380,33,377,41,3621,293
CT,1532,1858,5,0,86,12,1280,6,1806,205,127,452,2,0,6,5,202,10,350,8,1052,1522,3,0,22,15,1001,9,1313,217,81,373,1,1,2,0,149,44,248,13,1033,1537,6,4,32,15,969,10,1312,242,74,248,0,3,2,1,96,0,207,19,860,1296,7,2,30,14,827,11,1034,249,127,300,1,0,3,3,167,3,233,19,1091,1539,5,0,1,28,18,1025,17,1406,142,86,208,0,0,0,4,0,110,1,158,21,381,405,374,408,150,1042,1464,6,0,2,32,13,942,6,1359,162,88,123,115,125,27,148,347,3,0,3,6,1,175,1,294,24
DC,2821,3453,28,2,36,32,5847,15,350,24,139,450,5,6,4,7,439,0,128,22,2539,3333,36,5,33,23,5364,18,304,171,110,490,4,4,9,9,465,1,109,15,2441,3237,43,6,21,32,5120,16,380,158,136,509,5,3,5,6,498,4,126,14,1712,2665,40,13,13,31,3967,18,285,116,124,550,3,4,9,7,520,0,116,29,1491,2181,32,0,16,16,19,3284,12,288,101,145,541,4,0,0,23,16,480,3,115,53,692,582,524,751,358,1524,2512,37,5,19,51,34,3532,40,423,17,143,203,216,172,45,174,647,2,0,2,22,6,559,12,164,62
DE,452,536,0,1,8,6,595,2,340,38,38,55,0,0,4,0,21,0,66,2,347,477,1,1,4,2,447,10,311,52,26,69,0,0,0,0,31,0,61,3,414,600,0,1,6,3,609,1,341,55,49,101,0,0,1,0,69,0,71,9,760,817,2,0,2,6,967,4,551,49,0,0,0,0,0,0,0,0,0,0,1084,1125,2,0,4,5,12,1375,2,692,129,45,109,0,0,0,1,2,79,0,69,3,150,140,143,180,49,483,561,1,2,0,3,4,694,1,275,70,45,49,50,31,7,68,126,2,1,1,0,0,79,1,110,8
