GEOID,NAME,variable,estimate_2018,moe_2018,estimate_2019,moe_2019,estimate_2020,moe_2020,estimate_2021,moe_2021,estimate_2022,moe_2022,estimate_2023,moe_2023
01,Alabama,White,3317453,3345,3320247,3020,3302834,3712,3338590,3980,3329012,3832,3303370,3439
01,Alabama,Black or African American,1293186,2745,1299048,2738,1301319,3060,1324233,3335,1326341,3804,1318507,3965
01,Alabama,American Indian or Alaska Native,25576,1335,25565,1231,24764,1203,21661,1391,21122,1564,22491,1399
01,Alabama,Asian,64609,1251,66270,1204,67909,1445,70161,1602,69808,1150,71969,1347
01,Alabama,Native Hawaiian or Other Pacific Islander,2182,546,2238,544,2042,319,1702,377,2253,714,2564,693
01,Alabama,Multiple Races,91619,3331,92220,2835,119322,3836,155315,4493,185632,4998,228050,5374
02,Alaska,White,478834,1368,476015,1779,466961,1562,458520,1719,450472,1711,445545,2053
02,Alaska,Black or African American,24129,834,24205,833,23894,1015,23721,820,23395,906,22774,1107
02,Alaska,American Indian or Alaska Native,106660,1515,109751,1660,107298,1643,107531,1922,104957,1788,101226,1961
02,Alaska,Asian,46556,1030,45920,871,47289,1500,47213,1091,47464,1200,47099,1397
02,Alaska,Native Hawaiian or Other Pacific Islander,8849,485,9204,413,10485,446,10766,428,11209,462,11379,567
02,Alaska,Multiple Races,62461,1816,60665,2426,68832,2443,73946,2800,82727,2779,89804,2872
04,Arizona,White,5364141,9871,5444453,12269,5292498,11690,4985729,10875,4781702,11855,4593653,11338
04,Arizona,Black or African American,305259,2794,317462,3182,325105,4367,318827,4448,327077,4147,336931,4701
04,Arizona,American Indian or Alaska Native,309580,3307,317414,3669,311014,3370,300862,3623,297590,4524,296794,4688
04,Arizona,Asian,228887,2442,233213,2400,239190,2955,234495,2772,240642,3108,249816,3072
04,Arizona,Native Hawaiian or Other Pacific Islander,14112,625,14458,709,14633,654,13979,705,14116,885,14434,898
04,Arizona,Multiple Races,252883,5372,263037,6107,499597,10837,735021,11378,961794,13232,1180757,13657
05,Arkansas,White,2302874,2783,2301044,3155,2269959,4094,2227020,4549,2193348,5230,2148886,6684
05,Arkansas,Black or African American,460970,1946,459542,1941,457840,1962,458086,2316,456693,2289,452127,2301
05,Arkansas,American Indian or Alaska Native,20037,1190,20434,1200,19146,1158,17459,1112,16840,1020,16893,1362
05,Arkansas,Asian,43988,1091,45504,1017,46130,1123,46388,1083,47413,1302,47309,1243
05,Arkansas,Native Hawaiian or Other Pacific Islander,7969,639,8733,714,10455,597,10627,594,11117,736,12040,830
05,Arkansas,Multiple Races,75852,2749,80537,2773,119980,3823,159103,4959,203476,5743,263525,7558
06,California,White,23529068,26419,23453222,32004,22053721,34243,20553732,35545,18943660,30822,17248779,32393
06,California,Black or African American,2267875,8045,2274108,7427,2250962,7807,2233258,8611,2202587,9304,2173343,9676
06,California,American Indian or Alaska Native,296475,5495,303998,6578,311629,6466,360607,8270,394188,8220,445219,10584
06,California,Asian,5604339,8962,5692423,9078,5834312,11618,5887396,9676,5949136,10460,5997069,9761
06,California,Native Hawaiian or Other Pacific Islander,153366,2473,155290,2609,149636,2459,148278,2645,150531,2498,147827,2477
06,California,Multiple Races,1882227,23736,1922664,25591,3122016,30556,4235217,31554,5327003,32386,6410245,34732
08,Colorado,White,4655584,5852,4712574,6392,4634305,7323,4507448,9599,4393409,7884,4268784,8424
08,Colorado,Black or African American,227938,2446,233647,2659,235692,2805,234065,3088,233712,2900,232985,3419
08,Colorado,American Indian or Alaska Native,54483,1913,54847,2221,53671,2058,53143,2176,57022,2874,58576,2952
08,Colorado,Asian,172695,1886,178147,2100,181733,2287,183391,1949,185431,2398,187534,2112
08,Colorado,Native Hawaiian or Other Pacific Islander,8296,516,8643,719,8883,849,8192,695,8094,715,8647,740
08,Colorado,Multiple Races,197328,4702,205724,4667,337229,6691,478070,8049,609976,8620,738535,8835
