topic_id,topic_abbr,topic,date,standard_id,required_reading,req_chapter,optional_reading,opt_chapter,writing_assignment,project_assignment,slides,link,code,future
1,data_science,What is Data Science?,9/9/26,,,,,,,,Course slides [here](slides/intro.html),[Spinelli Center](https://www.smith.edu/qlc/tutoring.html);[Getting Started with Slack](https://slack.com/help/articles/218080037-Getting-started-for-new-Slack-users),,
2,datasets_variables,Data Fundamentals,9/11/26,,,,,,Fill out [First Day of Class Questionnaire](https://moodle.smith.edu/mod/questionnaire/view.php?id=1465853) in Moodle;Contact me if you will be using a Chromebook;Create a [GitHub account](https://github.com/) if you don't have one; Accept [SDS 192 Labs Assignment](https://moodle.smith.edu/mod/url/view.php?id=1334060),,Course slides [here](slides/data_fundamentals.html),Exercise [here](exercises/data_fundamentals.html),,
3,intro_r,Introduction to R,9/14/26,,ismayModernDiveStatistical2021,Getting Started,,,Complete Syllabus Quiz in Perusall,,Course slides[here](slides/R_fundamentals.html),Exercise Instructions [here](exercises/R_fundamentals.html);Exercise Template[here](https://github.com/SDS-192-Intro/public-website-fall-26/blob/main/_templates/R_fundamentals.qmd),,
4,datasets_lab,Lab: Understanding Datasets,9/16/26,,,,,,Complete [Course Infrastructure Set-Up](infrastructure-setup.html),,,[Lab 1 Instructions](labs/lab1.html),[Lab 1 Template](https://github.com/SDS-192-Intro/public-website-fall-26/blob/main/_templates/lab1.qmd),
5,scorecard,Introduction to Project 1,9/18/26,,,,,,,Project 1 Assigned,,,,
6,grammar_graphics,Grammar of Graphics,9/21/26,,baumerModernDataScience2021,2. Data Visualization,,,,,Course slides [here](slides/grammar_graphics.html),Exercise Instructions [here](exercises/grammar_graphics.html);[ggplot2 cheatsheet](https://rstudio.github.io/cheatsheets/data-visualization.pdf),,
7,viz_conventions,Visualization Conventions,9/23/26,,,,,,[Lab 1](labs/lab1.html) Due,,Course slides [here](slides/ggplot.html),Exercise Instructions [here](exercises/ggplot.html);[Exercise Template](https://github.com/SDS-192-Intro/public-website-fall-26/blob/main/exercises/ggplot.qmd);[ggplot2 cheatsheet](https://rstudio.github.io/cheatsheets/data-visualization.pdf),,
8,designing_graphics_lab,Lab: Designing Effective Data Visualizations,9/25/26,,,,,,,,,[ggplot2 cheatsheet](https://rstudio.github.io/cheatsheets/data-visualization.pdf); [Lab 2 Instructions](labs/lab2.html),,
9,frequency_Plots,Frequency Plots,9/28/26,,ismayModernDiveStatistical2021,2. Data Visualization,,,,,Course slides [here](slides/frequency.html),Exercise Instructions [here](exercises/frequency.html);[Exercise Template](https://github.com/SDS-192-Intro/public-website-fall-26/blob/main/exercises/frequency.qmd);[ggplot2 cheatsheet](https://rstudio.github.io/cheatsheets/data-visualization.pdf),,
10,boxplots,Boxplots,9/30/26,,,,,,[Lab 2](labs/lab2.html) Due,,Course slides [here](slides/boxplot.html),MP 1 [Assignment](https://moodle.smith.edu/mod/url/view.php?id=1370364);[ggplot2 cheatsheet](https://rstudio.github.io/cheatsheets/data-visualization.pdf),,
11,visualization_lab,Lab: Visualizing Data,10/2/26,,,,,,,,,[ggplot2 cheatsheet](https://rstudio.github.io/cheatsheets/data-visualization.pdf),,
12,open_source,Introduction to git and GitHub,10/5/26,,bryanExcuseMeYou2018,,,,,,Course slides [here](slides/git.html),[ggplot2 cheatsheet](https://rstudio.github.io/cheatsheets/data-visualization.pdf);[Lab 3 Instructions](https://sds-192-intro.github.io/public-website-fall-26/labs/lab3.html),,
13,github,Introduction to Open Source,10/7/26,,,,,,[Lab 3](https://sds-192-intro.github.io/public-website-fall-26/labs/lab3.html) Due,Project 1 Due,Course slides [here](slides/open_source.html),[git Sandbox](https://github.com/Data-Ethnography-and-Advocacy-Lab/git-sandbox);[Example Open Source project](https://github.com/BetaNYC/nyc-boundaries);[Choosing a license](https://choosealicense.com/),,
14,github_lab,Lab: Collaborating via GitHub,10/9/26,,,,,,,,,[Lab 4 Instructions](labs/lab4.html),,
15,no_class1,No Class,10/12/26,,,,,,,,,,,
16,subsetting,Data Wrangling Verbs,10/14/26,,ismayModernDiveStatistical2021,3. Data Wrangling,,,,,Course slides [here](slides/wrangling.html),[dplyr Cheatsheet](https://www.washstat.org/seminars/2015/20150428_datascience_docs/data-wrangling-cheatsheet.pdf),,
17,wrangling_review,Data Wrangling in R,10/16/26,,,,,,[Lab 4](labs/lab4.html) Due,,,Exericse Instructions[here](exercises/wrangling.html);Exercise Template[here](https://github.com/SDS-192-Intro/public-website-fall-26/blob/main/_templates/wrangling.qmd);[dplyr Cheatsheet](https://www.washstat.org/seminars/2015/20150428_datascience_docs/data-wrangling-cheatsheet.pdf),,
18,wrangling_lab,Lab: Data Wrangling,10/19/26,,,,,,,,,[dplyr Cheatsheet](https://www.washstat.org/seminars/2015/20150428_datascience_docs/data-wrangling-cheatsheet.pdf); [Lab 5 Instructions](labs/lab5.html),,
19,review1,Review,10/21/26,,,,,,,,Course slides are [here](slides/adv_wrangling.html),Midterm Review [here](midterm-review.html); Exercise Instructions [here](exercises/adv_wrangling.html); Exercise Template [here](https://github.com/SDS-192-Intro/public-website-fall-26/blob/main/_templates/adv_wrangling.qmd),,
20,fec,Introduction to FEC Data,10/23/26,,,,,,[Lab 5](labs/lab5.html) Due,[Project 2](https://classroom.github.com/a/tPvWsJka) Assigned,,,,
21,Mid-Term,Mid-Term Exam,10/26/26,,,,,,In-Class Midterm Exam,,,,,
